EmpID,ProjectID,DateFrom,DateTo
18,8,02-Dec-2021,1/11/2022
6,20,18-Dec-2021,1/9/2022
9,25,02-Dec-2021,1/3/2022
5,11,25-Dec-2021,1/8/2022
7,4,23-Dec-2021,1/1/2022
10,6,06-Dec-2021,1/3/2022
12,11,09-Dec-2021,1/3/2022
23,20,08-Dec-2021,1/18/2022
5,1,09-Dec-2021,1/11/2022
14,11,25-Dec-2021,1/12/2022
17,4,09-Dec-2021,1/12/2022
14,16,14-Dec-2021,1/23/2022
19,18,19-Dec-2021,1/9/2022
4,3,30-Dec-2021,1/22/2022
25,2,01-Dec-2021,1/2/2022
16,14,03-Dec-2021,1/24/2022
18,1,23-Dec-2021,1/6/2022
21,16,15-Dec-2021,1/21/2022
18,21,19-Dec-2021,1/1/2022
15,16,14-Dec-2021,1/5/2022
16,4,26-Dec-2021,1/5/2022
6,1,27-Dec-2021,1/24/2022
5,2,14-Dec-2021,1/1/2022
15,6,24-Dec-2021,1/7/2022
21,3,21-Dec-2021,1/14/2022
22,19,05-Dec-2021,1/25/2022
3,15,17-Dec-2021,1/13/2022
12,5,24-Dec-2021,1/15/2022
9,23,22-Dec-2021,1/13/2022
20,4,25-Dec-2021,1/19/2022
9,9,25-Dec-2021,1/1/2022
1,16,24-Dec-2021,1/3/2022
5,4,18-Dec-2021,1/2/2022
8,8,05-Dec-2021,1/5/2022
5,5,21-Dec-2021,1/21/2022
13,2,16-Dec-2021,1/22/2022
17,13,02-Dec-2021,1/1/2022
4,12,16-Dec-2021,1/14/2022
9,12,12-Dec-2021,1/26/2022
24,18,22-Dec-2021,1/4/2022
21,6,20-Dec-2021,1/26/2022
4,25,07-Dec-2021,1/4/2022
16,15,16-Dec-2021,1/15/2022
17,24,22-Dec-2021,1/23/2022
18,13,30-Dec-2021,1/8/2022
7,21,10-Dec-2021,1/8/2022
13,11,06-Dec-2021,1/10/2022
16,10,16-Dec-2021,1/17/2022
2,3,24-Dec-2021,1/12/2022
2,20,07-Dec-2021,1/21/2022
8,25,20-Dec-2021,1/6/2022
4,22,15-Dec-2021,1/17/2022
25,11,08-Dec-2021,1/24/2022
20,1,30-Dec-2021,1/22/2022
18,12,18-Dec-2021,1/23/2022
16,5,10-Dec-2021,1/20/2022
15,18,15-Dec-2021,1/22/2022
23,14,05-Dec-2021,1/7/2022
17,7,26-Dec-2021,1/15/2022
5,21,29-Dec-2021,1/24/2022
1,2,29-Dec-2021,1/20/2022
9,5,12-Dec-2021,1/7/2022
10,14,06-Dec-2021,1/8/2022
2,6,11-Dec-2021,1/7/2022
18,2,13-Dec-2021,1/24/2022
4,21,20-Dec-2021,1/8/2022
10,22,15-Dec-2021,1/4/2022
11,22,14-Dec-2021,1/11/2022
17,20,13-Dec-2021,1/5/2022
16,1,26-Dec-2021,1/25/2022
21,2,23-Dec-2021,1/21/2022
20,25,11-Dec-2021,1/19/2022
24,7,07-Dec-2021,1/7/2022
12,15,13-Dec-2021,1/21/2022
19,23,30-Dec-2021,1/18/2022
11,13,23-Dec-2021,1/11/2022
24,2,25-Dec-2021,1/14/2022
6,16,05-Dec-2021,1/3/2022
17,25,18-Dec-2021,1/16/2022
15,15,18-Dec-2021,1/2/2022
19,16,13-Dec-2021,1/25/2022
2,21,26-Dec-2021,1/3/2022
24,18,17-Dec-2021,1/16/2022
5,6,19-Dec-2021,1/18/2022
1,15,01-Dec-2021,1/16/2022
1,1,27-Dec-2021,1/1/2022
6,9,01-Dec-2021,1/25/2022
16,11,30-Dec-2021,1/25/2022
1,13,01-Dec-2021,1/22/2022
5,13,02-Dec-2021,1/3/2022
24,13,03-Dec-2021,1/13/2022
8,7,27-Dec-2021,1/22/2022
8,10,17-Dec-2021,1/25/2022
21,15,01-Dec-2021,1/17/2022
10,13,12-Dec-2021,1/6/2022
8,9,01-Dec-2021,1/12/2022
22,14,03-Dec-2021,1/13/2022
8,1,13-Dec-2021,1/5/2022
1,4,11-Dec-2021,1/19/2022
9,14,05-Dec-2021,1/20/2022
8,20,19-Dec-2021,1/10/2022
10,8,22-Dec-2021,1/14/2022
14,23,07-Dec-2021,1/6/2022
13,7,17-Dec-2021,1/16/2022
13,24,05-Dec-2021,1/4/2022
4,6,04-Dec-2021,1/8/2022
4,4,11-Dec-2021,1/6/2022
21,1,05-Dec-2021,1/23/2022
20,12,27-Dec-2021,1/26/2022
17,13,10-Dec-2021,1/22/2022
8,11,26-Dec-2021,1/4/2022
18,14,04-Dec-2021,1/17/2022
1,19,02-Dec-2021,1/3/2022
13,18,12-Dec-2021,1/16/2022
2,18,02-Dec-2021,1/2/2022
1,25,27-Dec-2021,1/21/2022
24,18,18-Dec-2021,1/12/2022
14,11,01-Dec-2021,1/9/2022
17,14,30-Dec-2021,1/22/2022
19,7,26-Dec-2021,1/9/2022
23,3,15-Dec-2021,1/23/2022
6,18,13-Dec-2021,1/25/2022
3,24,27-Dec-2021,1/17/2022
12,10,22-Dec-2021,1/26/2022
6,22,08-Dec-2021,1/1/2022
6,5,10-Dec-2021,1/11/2022
8,15,16-Dec-2021,1/14/2022
10,23,29-Dec-2021,1/10/2022
19,3,30-Dec-2021,1/13/2022
13,15,26-Dec-2021,1/20/2022
